ADVERTISER,VOL,NUM,PPG
Alpha Byte Computer Products,3,7,262
Alpha Byte Computer Products,3,11,47
Alpha Logic,2,5,168
Alpha Logic,2,7,152
Alpha Logic,2,8,54
Alpha Logic,2,9,159
Alpha Logic Business Systems,3,2,204
Alpha Logic Business Systems,3,3,56
Alpha Logic Business Systems,3,4,62
Alpha Logic Business Systems,3,6,134
Alpha Logic Business Systems,4,1,103
Alpha Logic Business Systems,4,2,196
Alpha Logic Business Systems,4,4,104
Alpine Software,3,2,124
Alpine Software,3,3,182
Alpine Software,3,4,286
Amdek,2,4,139
Amdek,2,6,117
Amdek,2,8,5
Amdek,2,10,3
Amdek,2,11,157
Amdek,3,1,41
Amdek,3,2,200
Amdek,3,3,283
Amdek,3,4,152
Amdek,3,4,153
Amdek,4,4,12
Amdek,4,5,31
Amdek,4,6,243
Amdek,4,7,11
Amdek,4,8,6
American Access Software,3,11,269
American Software Club,3,9,232
American Software House,2,9,77
American Software House,2,10,126
American Training International,4,3,110
Amkey,3,11,43
Amkey,3,12,133
Androbot,4,5,92
Androbot,4,5,93
Anidata,3,5,8
Anidata,3,12,28
Animation Graphics,3,3,254
Animation Graphics,3,4,329
Animation Graphics,3,4,60
Animation Graphics,3,5,247
Animation Graphics,3,5,52
Animation Graphics,3,6,241
Animation Graphics,3,6,51
Animation Graphics,3,7,73
Anthro-Digital,2,12,175
Anthro-Digital,3,1,139
Anthro-Digital,3,2,168
Anthro-Digital,3,3,251
Anthro-Digital,3,4,285
Anthro-Digital,3,5,68
Anthro-Digital,3,8,256
Anthro-Digital,3,9,121
Anthro-Digital,3,10,158
Anthro-Digital,3,11,110
Anthro-Digital Software,2,9,155
Anthro-Digital Software,3,6,149
Anthro-Digital Software,3,7,97
Apex Software,3,4,110
Apex Software Co,3,2,38
Apogee Designs Ltd,4,2,163
Apogee Designs Ltd,4,3,336
Apogee Designs Ltd,4,4,311
Apogee Software,3,2,146
Apogee Software,3,3,116
Apogee Software,3,4,102
Apple,1,11,65
Apple Computer,1,12,57
Apple Computer,2,1,47
Apple Computer,2,2,45
Apple Computer,2,7,111
Apple Computer,3,1,75
Apple Computer,3,2,131
Apple Computer,3,2,99
Apple Computer,3,3,156
Apple Computer,3,3,157
Apple Computer,3,3,59
Apple Computer,3,3,73
Apple Computer,3,4,144
Apple Computer,3,4,145
Apple Computer,3,6,144
Apple Computer,3,6,145
Apple Computer,3,6,28
Apple Computer,3,6,29
Apple Computer,3,7,142
Apple Computer,3,7,143
Apple Computer,3,7,154
Apple Computer,3,7,155
Apple Computer,3,8,152
Apple Computer,3,8,153
Apple Computer,3,10,152
Apple Computer,3,10,153
Apple Computer,3,11,168
Apple Computer,3,11,169
Apple Computer,3,12,114
Apple Computer,3,12,115
Apple Computer,3,12,148
Apple Computer,3,12,149
Apple Computer,4,1,158
Apple Computer,4,1,159
Apple Computer,4,1,234
Apple Computer,4,1,235
Apple Computer,4,2,254
Apple Computer,4,2,255
Apple Computer,4,3,158
Apple Computer,4,3,159
Apple Computer,4,9,113
Apple Computer / Acces. Prod. Div,2,11,145
Apple Computer / Acces. Prod. Div,2,11,147
Apple Computer / Accessory Products Division,2,12,91
Apple Computer / Accessory Products Division,2,12,93
Apple Computer / Accessory Products Division,3,1,133
Apple Computer / Accessory Products Division,3,1,137
Apple Computer Inc,1,9,11
Applefest,2,7,132
Applefest,2,7,133
Applefest,2,8,152
Applefest,2,8,153
Applefest,2,9,56
Applefest,2,9,57
Applefest,2,12,147
Applefest,3,1,171
Applefest,3,2,103
Applefest,3,3,297
Applefest,4,1,130
Applefest,4,2,222
Appletech,4,10,116
Applied Analytics,2,1,8
Applied Analytics,2,2,79
Applied Analytics,2,3,122
Applied Analytics,2,4,157
Applied Analytics,2,5,12
Applied Analytics,2,6,179
Applied Analytics,3,4,167
Applied Analytics,3,6,140
Applied Engineering,3,9,112
Applied Engineering,3,10,212
Applied Engineering,3,11,202
Applied Engineering,3,12,227
Applied Engineering,4,1,266
Applied Engineering,4,2,219
Applied Engineering,4,3,174
Applied Engineering,4,4,379
Applied Engineering,4,5,45
Applied Engineering,4,7,213
Applied Engineering,4,8,140
Applied Engineering,4,9,75
Applied Engineering,4,10,43
Applied Engineering,4,11,45
Applied Engineering,4,12,77
Applied Software,2,7,12
Applied Software,2,9,166
Applied Software,2,10,32
Applied Software,2,11,174
Applied Software Technology,2,8,24
Applied Software Technology,3,1,162
Applied Software Technology,3,2,227
Applied Software Technology,3,3,128
Applied Software Technology,3,8,181
Applied Software Technology,3,10,59
Aquila Corporation,4,6,17
"Arrays, Inc./Continental Software",4,11,64
"Arrays, Inc./Continental Software",4,12,1
"Arrays, Inc./Continental Software",4,12,Cover2
Artemis Systems,4,6,151
Artemis Systems,4,7,222
Artemis Systems,4,8,91
Artemis Systems,4,9,196
Artic Technologies,4,9,166
Artic Technologies,4,10,119
Artic Technologies,4,11,38
Artic Technologies,4,12,91
Artra,3,7,93
Artra,3,8,171
Artra,3,9,88
Artra,3,11,288
Artra,3,12,116
Artra Inc,3,4,237
Artra Inc,3,5,75
Artra Inc,3,6,151
Artsci,1,1,26
Artsci,1,2,28
Artsci,1,7,46
Artsci,1,8,27
Artsci,1,10,78
Artsci,2,3,147
Artsci,2,4,188
Artsci,2,5,157
Artsci,2,6,163
Artsci,2,7,142
Artsci,2,11,132
Artsci,3,1,22
Artsci,3,2,202
Artsci,3,3,205
Artsci,3,4,311
Artsci,3,6,123
Artsci,3,7,229
Artsci,3,8,241
Artsci,3,9,241
Artsci,3,10,160
Artsci,3,11,199
Artworx Software,3,7,212
Artworx Software,3,8,279
Artworx Software,3,9,220
Ashton-Tate,2,12,70
Ashton-Tate,2,12,71
Ashton-Tate,3,1,38
Ashton-Tate,3,1,39
Ashton-Tate,3,2,220
Ashton-Tate,3,2,221
Ashton-Tate,3,3,76
