POSITION	NAME
Chairman	John Haller
Publisher	Al Tommervik
Editor	Margot Comstock Tommervik
Art Director	Kurt A. Wahlner
Managing Editor	Patricia Ryall
Associate Editors	Jean Varven, Andrew Christie
Newspeak Editor	David Hunter
Special Assignments	Jonathan Miller
Open Discussion Editor	Tommy Gear
News and Trade Editor	Matthew T. Yuen
Reviews Editor	Roe Adams
Assistant Editors	Michael Ferris, David Durkee
Proofreader	Harry McNeil
Contributing Editors	
	Assembly Language	Roger Wagner
	Pascal	Jim Merritt
	Business	Peter Olivieri
	Apple CP/M	Greg Tibbetts
	Apple III	Taylor Pohlman
	Hardware	Jeffrey Mazur
	Applesoft	Doug Carlston
	Investing	Kenneth Landis
	DOS	Bert Kersey
	Graphics	Mark Pelczarski
	Financial Modeling	Joe Shelton
	Beginners	Christopher U. Light
	Basic Solution	Wm. V. R. Smith
Art Manager	Kevin McKeon
Art Assistants	Michael G. Pender, Roxanne Rogers, Jill Schultz
Associate Publisher	Mary Sue Rennells
Accounting	Evelyn Burke
Accounting Assistant	Mary Milam
Marketing	Jim Salmons
Marketing Assistant	Dave Fitzgerald
Purchasing	Steven M. Poncar
Assistant to the Publisher	Dan Yoder
Book Sales	Lois Stickelmaier
Advertising
	Advertising Coordinator	Linda McGuire
	West Coast Sales	David Hunter
	East Coast Sales	Paul McGinnis, [Paul McGinnis Company]
	Midwest and Rocky Mountain Sales	Ted Rickard, John Sienkiewicz, [Market/Media Associates]
Circulation	
	Trial Subscriptions	Hal Schick, Dierdre Booth
	Paid Subscriptions	Pam Kelley
	Dealer Sales	Judy Weinstein
	Back Issues	Ron Rennells
	List Maintenance	Pat Adams, Harry Richardson
Assistants	Keith Landry, Cliff Martinez
Systems	Sam Pawley
Guest Reviewers	Dave Albert, Neil Britt, Samantha Good, Forrest Johnson, Jock Root, R. Jon Ruppert, Craig Stinson
