POSITION	NAME
Chairman	John Haller
Editor	Margot Comstock Tommervik
Managing Editor	Al Tommervik
Associate Editor	Craig Stinson
Art Director	Kurt A. Wahlner
Contributing Editors	Roger Wagner, Jim Merritt, Peter Olivieri, Greg Tibbetts, Jeff Mazur
Guest Reviewers	Eric Marks, Philip Good, Gary Hatfield
Editorial Assistants	Linda Va Salle, Melissa Milich
Operations Manager Assistant	Mary Sue Rennells, David Hunter
Circulation	Kimberly Curling, Ron Rennells
Systems	William V. R. Smith
Advertising Sales	Al Tommervik, Margot Tommervik
